unit;airpol;airemsect;geo\time;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990;1989;1988;1987;1986;1985
MIO_T;GHG;CRF1-6X4_MEMO;UK;523.73922;566.25111;579.17358;562.08502;610.20682;595.5373;653.88929;673.74354;686.25509;692.10379;700.34849;704.48196;697.28551;717.37633;713.75641;712.38274;742.89204;745.67144;770.48809;748.84381;754.77145;765.72746;785.57506;806.03752;796.62105;;;;;
MIO_T;GHG;CRF1-6X4_MEMONIA;AT;78.33019;82.03882;81.99167;84.81794;87.01704;82.104;89.30598;89.43971;92.05133;94.7908;93.57875;93.4867;87.68647;86.04946;82.14257;81.66518;83.36621;84.01653;84.49123;81.15499;77.70212;77.14068;77.02017;83.64149;79.74017;;;;;
MIO_T;GHG;CRF1-6X4_MEMONIA;BE;117.93323;123.26211;122.87213;127.29784;137.46123;129.78453;143.10796;140.4882;144.77937;148.38657;152.74051;151.44662;150.78777;151.88521;153.92114;152.69711;158.45156;152.80466;161.0342;156.93849;154.43038;149.981;150.99856;151.45516;149.15152;;;;;
MIO_T;GHG;CRF1-6X4_MEMONIA;BG;57.71382;55.43137;60.52818;65.61255;60.33087;57.55194;66.63189;67.79826;63.88001;63.22686;62.84797;63.89259;58.90242;61.62027;58.51019;59.42034;66.35329;70.52895;74.20352;74.44383;73.11452;77.66683;78.5998;83.06921;104.76081;113.54599;115.69025;;;
MIO_T;GHG;CRF1-6X4_MEMONIA;CH;53.38446;57.26536;56.30566;54.86252;58.64031;56.83401;58.33643;56.49291;58.16825;58.3672;57.62776;57.20521;56.40902;58.34048;57.01841;57.5299;57.46325;55.66889;56.77677;55.89727;54.79072;55.68407;58.19137;58.28134;56.41133;;;;;
MIO_T;GHG;CRF1-6X4_MEMONIA;CY;9.17734;8.74514;9.55223;10.10845;10.36355;10.65031;10.92126;10.71515;10.38643;10.12535;10.06715;9.92511;9.46379;9.26499;9.17843;8.89717;8.6175;8.252;8.1373;7.88026;7.86037;7.60003;7.42584;7.0125;6.37741;;;;;
MIO_T;GHG;CRF1-6X4_MEMONIA;CZ;124.53345;129.25021;133.20744;137.31384;138.65234;136.59994;145.13306;149.71834;148.82744;146.94596;149.10839;148.16604;144.59442;148.14623;148.58657;139.05507;148.03041;153.63337;157.47092;155.45498;154.98114;162.53817;170.49231;177.00481;195.87301;;;;;
MIO_T;GHG;CRF1-6X4_MEMONIA;DE;924.76583;969.05243;949.69664;943.18413;963.59157;929.3015;997.46533;995.2512;1021.29903;1012.84564;1036.22927;1050.77502;1053.5506;1074.66862;1060.3452;1061.30999;1093.14914;1118.18405;1152.12303;1133.41516;1136.27537;1154.48584;1162.48235;1211.59399;1258.17433;;;;;
MIO_T;GHG;CRF1-6X4_MEMONIA;DK;53.45495;57.49588;55.50119;60.36277;65.47176;64.96964;68.18723;71.79074;76.38491;68.5524;72.83499;78.60158;73.62445;74.24107;72.54716;76.97039;79.20635;83.12742;92.43743;79.30666;82.32612;78.08765;76.04433;81.75208;71.19447;;;;;
MIO_T;GHG;CRF1-6X4_MEMONIA;EE;21.18558;21.76585;19.53866;20.58954;20.02628;16.28386;19.46083;20.97201;17.78494;18.44574;19.14547;18.83841;16.98649;17.52211;17.1273;17.42593;18.75345;20.33024;20.6801;19.98918;21.75848;21.05635;26.91274;36.90333;40.07394;;;;;
MIO_T;GHG;CRF1-6X4_MEMONIA;EL;104.26515;107.16336;114.72989;117.97229;120.83818;127.43629;134.36818;137.90533;135.05551;138.43634;135.52547;134.81201;130.61439;130.70201;130.20087;127.44412;126.9566;121.22942;116.47165;113.4427;111.31371;108.03466;108.34398;107.00171;107.28935;;;;;
MIO_T;GHG;CRF1-6X4_MEMONIA;ES;342.69771;340.75747;369.05058;374.4697;373.61982;383.87605;422.3808;453.42169;443.90792;450.5148;434.88245;418.01185;410.00234;392.41109;395.30509;378.37779;351.39965;340.40004;325.8642;332.95458;317.25236;300.62928;310.62858;300.75189;291.56149;;;;;
MIO_T;GHG;CRF1-6X4_MEMONIA;EU15;3535.87324;3697.89812;3759.62679;3799.503;3957.07633;3873.4522;4169.68684;4255.85747;4316.28086;4340.5805;4370.77534;4371.03951;4314.68417;4340.85415;4307.37119;4288.1605;4341.78475;4316.27793;4381.21975;4293.18237;4245.82008;4239.69697;4300.02553;4379.43239;4354.10815;;;;;
MIO_T;GHG;CRF1-6X4_MEMONIA;EU28;4415.18464;4598.10651;4688.26183;4755.805;4907.64345;4800.47565;5174.34594;5283.23289;5337.6596;5342.87109;5375.91725;5371.75422;5280.4433;5326.94071;5277.53317;5263.14198;5367.47637;5407.93008;5503.42123;5392.16248;5336.51353;5357.96373;5452.59028;5626.40115;5726.27596;;;;;
