Lieu	N° région, département	Série	Unité	1990	1992	1995	1997	1999	2002	2004	2005	2006	2007	2008	2009
BOURGOGNE	26	EN10dont électricité basse tension usages professionnels et divers	GWh	801.0	825.0	829.0	782.0	839.0	807.0	786.0	824.0	944.0	941.0	1076.0	1076.0
BOURGOGNE	26	EN10dont électricité basse tension services publics et éclairages publics	GWh	ND	ND	ND	248.0	269.0	212.0	175.0	190.0	175.0	185.0	176.0	176.0
BOURGOGNE	26	EN10dont électricité haute tension dans le tertiaire	GWh	983.0	1107.0	1349.0	1392.0	1460.0	1579.0	1657.0	1700.0	1761.0	1765.0	1888.0	1888.0
BOURGOGNE	26	EN10Consommation de bois-énergie des ménages	ktep	418.0	482.0	409.0	389.0	424.0	293.0	274.0	260.0	249.0	239.0	242.0	234.0
BOURGOGNE	26	EN10Consommation de chauffage urbain	ktep	ND	ND	ND	ND	69.0	46.0	47.0	48.0	44.0	40.0	44.0	42.0
BRETAGNE	53	EN10Consommation totale d'énergie par le résidentiel tertiaire (RT)	ktep	2229.0	2745.0	2452.0	2715.0	2847.0	2894.0	3111.0	3016.0	3028.0	2813.0	3155.0	3002.0
BRETAGNE	53	EN10dont consommation totale dans le résidentiel	ktep	1629.0	1999.0	1760.0	1946.0	1974.0	2013.0	2144.0	2062.0	2096.0	1892.0	2102.0	1994.0
BRETAGNE	53	EN10dont consommation totale dans le tertiaire	ktep	599.0	745.0	692.0	769.0	874.0	881.0	967.0	954.0	932.0	922.0	1053.0	1008.0
BRETAGNE	53	EN10dont consommation totale hors chauffage urbain	ktep	2229.0	2745.0	2452.0	2715.0	2767.0	2866.0	3079.0	2980.0	2992.0	2777.0	3115.0	2962.0
BRETAGNE	53	EN10Consommation de charbon dans le RT	ktep	ND	ND	ND	ND	28.0	3.0	ND	ND	ND	ND	ND	ND
BRETAGNE	53	EN10Consommation de produits pétroliers dans le RT	ktep	819.0	1077.0	888.0	1040.0	1028.0	1013.0	975.0	854.0	867.0	764.0	845.0	674.0
BRETAGNE	53	EN10Consommation de gaz naturel et de réseaux dans le RT	ktep	309.0	416.0	373.0	429.0	491.0	565.0	669.0	671.0	633.0	542.0	700.0	697.0
BRETAGNE	53	EN10Consommation de gaz naturel et de réseaux dans le RT	GWh	4016.0	5398.0	4845.0	5576.0	6375.0	7335.0	8688.0	8720.0	8218.0	7036.0	9094.0	9047.0
BRETAGNE	53	EN10dont gaz naturel et de réseaux dans le résidentiel	GWh	ND	ND	ND	ND	ND	4671.0	5521.0	5464.0	5692.0	4436.0	5993.0	5885.0
BRETAGNE	53	EN10dont gaz naturel et de réseaux dans le tertiaire	GWh	ND	ND	ND	ND	ND	2664.0	3167.0	3257.0	2526.0	2600.0	3101.0	3162.0
BRETAGNE	53	EN10Consommation d'électricité dans le RT	ktep	694.0	784.0	793.0	868.0	921.0	1007.0	1111.0	1129.0	1177.0	1169.0	1240.0	1240.0
BRETAGNE	53	EN10Consommation d'électricité dans le RT	GWh	8075.0	9112.0	9224.0	10088.0	10714.0	11713.0	12922.0	13132.0	13681.0	13588.0	14424.0	14424.0
BRETAGNE	53	EN10dont électricité basse tension dans le résidentiel (domestique et agricole)	GWh	5163.0	5815.0	5726.0	6437.0	6659.0	7512.0	8081.0	8113.0	8317.0	8074.0	8150.0	8150.0
BRETAGNE	53	EN10dont électricité haute et basse tension dans le tertiaire	GWh	2912.0	3298.0	3498.0	3650.0	4056.0	4527.0	4842.0	5019.0	5364.0	5514.0	6274.0	6274.0
BRETAGNE	53	EN10dont électricité basse tension usages professionnels et divers	GWh	1221.0	1310.0	1298.0	1253.0	1334.0	1378.0	1407.0	1469.0	1711.0	1783.0	2408.0	2408.0
BRETAGNE	53	EN10dont électricité basse tension services publics et éclairages publics	GWh	ND	ND	ND	308.0	328.0	263.0	220.0	237.0	219.0	233.0	223.0	223.0
BRETAGNE	53	EN10dont électricité haute tension dans le tertiaire	GWh	1691.0	1988.0	2200.0	2397.0	2721.0	3017.0	3214.0	3313.0	3434.0	3498.0	3644.0	3644.0
BRETAGNE	53	EN10Consommation de bois-énergie des ménages	ktep	406.0	468.0	397.0	378.0	354.0	284.0	323.0	326.0	316.0	302.0	330.0	351.0
BRETAGNE	53	EN10Consommation de chauffage urbain	ktep	ND	ND	ND	ND	53.0	25.0	32.0	36.0	36.0	37.0	40.0	40.0
CENTRE-VAL DE LOIRE	24	EN10Consommation totale d'énergie par le résidentiel tertiaire (RT)	ktep	2379.0	2808.0	2613.0	2747.0	2888.0	2758.0	2765.0	2781.0	2828.0	2680.0	2926.0	2982.0
CENTRE-VAL DE LOIRE	24	EN10dont consommation totale dans le résidentiel	ktep	1760.0	2075.0	1894.0	1985.0	2013.0	2001.0	1977.0	1961.0	2017.0	1866.0	1992.0	2026.0
CENTRE-VAL DE LOIRE	24	EN10dont consommation totale dans le tertiaire	ktep	619.0	733.0	719.0	762.0	875.0	757.0	788.0	820.0	811.0	814.0	934.0	955.0
CENTRE-VAL DE LOIRE	24	EN10dont consommation totale hors chauffage urbain	ktep	2379.0	2808.0	2613.0	2747.0	2787.0	2684.0	2704.0	2724.0	2772.0	2624.0	2865.0	2928.0
CENTRE-VAL DE LOIRE	24	EN10Consommation de charbon dans le RT	ktep	ND	ND	ND	ND	25.0	6.0	ND	ND	ND	ND	ND	ND
CENTRE-VAL DE LOIRE	24	EN10Consommation de produits pétroliers dans le RT	ktep	721.0	882.0	759.0	775.0	767.0	828.0	650.0	635.0	729.0	660.0	767.0	824.0
CENTRE-VAL DE LOIRE	24	EN10Consommation de gaz naturel et de réseaux dans le RT	ktep	498.0	605.0	611.0	694.0	755.0	766.0	764.0	798.0	748.0	696.0	734.0	730.0
CENTRE-VAL DE LOIRE	24	EN10Consommation de gaz naturel et de réseaux dans le RT	GWh	6472.0	7854.0	7933.0	9009.0	9806.0	9944.0	9921.0	10361.0	9715.0	9045.0	9535.0	9485.0
CENTRE-VAL DE LOIRE	24	EN10dont gaz naturel et de réseaux dans le résidentiel	GWh	ND	ND	ND	ND	ND	6580.0	7326.0	7394.0	7393.0	6456.0	6326.0	6212.0
CENTRE-VAL DE LOIRE	24	EN10dont gaz naturel et de réseaux dans le tertiaire	GWh	ND	ND	ND	ND	ND	3363.0	2595.0	2968.0	2322.0	2589.0	3210.0	3273.0
CENTRE-VAL DE LOIRE	24	EN10Consommation d'électricité dans le RT	ktep	639.0	721.0	735.0	794.0	826.0	780.0	956.0	962.0	977.0	964.0	1043.0	1043.0
CENTRE-VAL DE LOIRE	24	EN10Consommation d'électricité dans le RT	GWh	7435.0	8389.0	8548.0	9237.0	9609.0	9065.0	11121.0	11182.0	11361.0	11215.0	12126.0	12126.0
CENTRE-VAL DE LOIRE	24	EN10dont électricité basse tension dans le résidentiel (domestique et agricole)	GWh	4683.0	5294.0	5207.0	5773.0	5927.0	6479.0	6847.0	6811.0	6837.0	6656.0	7137.0	7137.0
CENTRE-VAL DE LOIRE	24	EN10dont électricité haute et basse tension dans le tertiaire	GWh	2753.0	3096.0	3341.0	3464.0	3682.0	4037.0	4274.0	4371.0	4524.0	4559.0	4989.0	4989.0
CENTRE-VAL DE LOIRE	24	EN10dont électricité basse tension usages professionnels et divers	GWh	1159.0	1235.0	1213.0	1215.0	1233.0	1221.0	1212.0	1252.0	1391.0	1394.0	1636.0	1636.0
CENTRE-VAL DE LOIRE	24	EN10dont électricité basse tension services publics et éclairages publics	GWh	ND	ND	ND	399.0	379.0	301.0	248.0	264.0	246.0	261.0	270.0	270.0
CENTRE-VAL DE LOIRE	24	EN10dont électricité haute tension dans le tertiaire	GWh	1594.0	1861.0	2128.0	2250.0	2449.0	2667.0	2813.0	2855.0	2886.0	2905.0	3083.0	3083.0
CENTRE-VAL DE LOIRE	24	EN10Consommation de bois-énergie des ménages	ktep	520.0	599.0	508.0	483.0	463.0	317.0	335.0	330.0	318.0	303.0	322.0	331.0
CENTRE-VAL DE LOIRE	24	EN10Consommation de chauffage urbain	ktep	ND	ND	ND	ND	76.0	68.0	61.0	57.0	56.0	56.0	61.0	54.0
CHAMPAGNE-ARDENNE	21	EN10Consommation totale d'énergie par le résidentiel tertiaire (RT)	ktep	1374.0	1543.0	1497.0	1555.0	1623.0	1542.0	1645.0	1700.0	1658.0	1625.0	1592.0	1582.0
CHAMPAGNE-ARDENNE	21	EN10dont consommation totale dans le résidentiel	ktep	1029.0	1157.0	1094.0	1137.0	1129.0	1140.0	1172.0	1157.0	1146.0	1085.0	1118.0	1110.0
CHAMPAGNE-ARDENNE	21	EN10dont consommation totale dans le tertiaire	ktep	345.0	385.0	403.0	418.0	494.0	401.0	472.0	542.0	511.0	540.0	474.0	472.0
CHAMPAGNE-ARDENNE	21	EN10dont consommation totale hors chauffage urbain	ktep	1374.0	1543.0	1497.0	1555.0	1560.0	1501.0	1611.0	1668.0	1622.0	1585.0	1545.0	1539.0
CHAMPAGNE-ARDENNE	21	EN10Consommation de charbon dans le RT	ktep	ND	ND	ND	ND	18.0	3.0	ND	ND	ND	ND	ND	ND
CHAMPAGNE-ARDENNE	21	EN10Consommation de produits pétroliers dans le RT	ktep	302.0	324.0	333.0	342.0	351.0	356.0	279.0	289.0	287.0	287.0	287.0	274.0
CHAMPAGNE-ARDENNE	21	EN10Consommation de gaz naturel et de réseaux dans le RT	ktep	386.0	450.0	439.0	484.0	525.0	526.0	586.0	630.0	587.0	566.0	479.0	475.0
CHAMPAGNE-ARDENNE	21	EN10Consommation de gaz naturel et de réseaux dans le RT	GWh	5017.0	5849.0	5703.0	6288.0	6813.0	6826.0	7611.0	8185.0	7622.0	7351.0	6214.0	6173.0
CHAMPAGNE-ARDENNE	21	EN10dont gaz naturel et de réseaux dans le résidentiel	GWh	ND	ND	ND	ND	ND	4544.0	5298.0	5054.0	5071.0	4461.0	4345.0	4267.0
CHAMPAGNE-ARDENNE	21	EN10dont gaz naturel et de réseaux dans le tertiaire	GWh	ND	ND	ND	ND	ND	2283.0	2313.0	3131.0	2550.0	2890.0	1870.0	1907.0
CHAMPAGNE-ARDENNE	21	EN10Consommation d'électricité dans le RT	ktep	325.0	354.0	374.0	394.0	411.0	361.0	465.0	470.0	478.0	475.0	506.0	506.0
CHAMPAGNE-ARDENNE	21	EN10Consommation d'électricité dans le RT	GWh	3783.0	4112.0	4343.0	4582.0	4780.0	4203.0	5407.0	5464.0	5563.0	5520.0	5881.0	5881.0
CHAMPAGNE-ARDENNE	21	EN10dont électricité basse tension dans le résidentiel (domestique et agricole)	GWh	2326.0	2506.0	2519.0	2792.0	2829.0	3005.0	3122.0	3124.0	3084.0	3039.0	3287.0	3287.0
CHAMPAGNE-ARDENNE	21	EN10dont électricité haute et basse tension dans le tertiaire	GWh	1457.0	1606.0	1824.0	1790.0	1952.0	2151.0	2284.0	2340.0	2479.0	2481.0	2594.0	2594.0
CHAMPAGNE-ARDENNE	21	EN10dont électricité basse tension usages professionnels et divers	GWh	637.0	652.0	669.0	614.0	641.0	617.0	602.0	641.0	734.0	729.0	885.0	885.0
CHAMPAGNE-ARDENNE	21	EN10dont électricité basse tension services publics et éclairages publics	GWh	ND	ND	ND	211.0	224.0	172.0	138.0	156.0	141.0	152.0	134.0	134.0
