Lieu	N° région, département	Série	Unité	Année	Valeur
PICARDIE	22	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2005	0.0
PICARDIE	22	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2006	5.75
PICARDIE	22	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2007	29.0
PICARDIE	22	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2008	9.8
PICARDIE	22	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2009	18.532
POITOU-CHARENTES	54	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	1999	38.0
POITOU-CHARENTES	54	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2000	34.4
POITOU-CHARENTES	54	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2001	34.0
POITOU-CHARENTES	54	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2002	34.9
POITOU-CHARENTES	54	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2004	32.2
POITOU-CHARENTES	54	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2005	19.44
POITOU-CHARENTES	54	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2006	22.2
POITOU-CHARENTES	54	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2007	20.8
POITOU-CHARENTES	54	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2008	17.8
POITOU-CHARENTES	54	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2009	19.145
PROVENCE-ALPES-COTE D AZUR	93	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	1999	10.0
PROVENCE-ALPES-COTE D AZUR	93	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2000	18.6
PROVENCE-ALPES-COTE D AZUR	93	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2001	22.8
PROVENCE-ALPES-COTE D AZUR	93	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2002	116.0
PROVENCE-ALPES-COTE D AZUR	93	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2004	12.8
PROVENCE-ALPES-COTE D AZUR	93	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2005	42.9
PROVENCE-ALPES-COTE D AZUR	93	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2006	17.89
PROVENCE-ALPES-COTE D AZUR	93	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2007	618.456
PROVENCE-ALPES-COTE D AZUR	93	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2008	315.073
PROVENCE-ALPES-COTE D AZUR	93	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2009	166.125
RHONE-ALPES	82	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	1999	128.0
RHONE-ALPES	82	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2000	238.0
RHONE-ALPES	82	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2001	176.7
RHONE-ALPES	82	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2002	57.69
RHONE-ALPES	82	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2004	256.84
RHONE-ALPES	82	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2005	249.91
RHONE-ALPES	82	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2006	71.0
RHONE-ALPES	82	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2007	252.11
RHONE-ALPES	82	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2008	60.25
RHONE-ALPES	82	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2009	285.558
