Lieu	N° région, département	Série	Unité	Année	Valeur
FRANCHE COMTE	43	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2009	0.005
France entière		EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2009	211.956
HAUTE NORMANDIE	23	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2009	155.964
ILE DE FRANCE	11	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2009	35.553
LANGUEDOC-ROUSSILLON	91	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2009	0.134
LIMOUSIN	74	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2009	0.025
LORRAINE	41	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2009	1.028
MIDI-PYRENEES	73	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2009	0.146
NORD-PAS-DE-CALAIS	31	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2009	1.264
PAYS DE LA LOIRE	52	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2009	0.164
PICARDIE	22	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2009	0.036
POITOU-CHARENTES	54	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2009	0.056
PROVENCE-ALPES-COTE D AZUR	93	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2009	15.064
RHONE-ALPES	82	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2009	1.399
