pe_type,unit,geo\time	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 	1981 	1980 
PE_3,T_AI,EE	: 	18 	9 	7 	3 	4 	5 	3 	3 	3 	2 	2 	1 	2 	2 	4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PE_3,T_AI,EL	: 	: 	: 	: 	: 	: 	: 	2638 	2864 	2835 	2505 	2436 	2440 	2529 	3098 	2362 	2290 	2150 	: 	2844 	2731 	2386 	2762 	6150 	3248 	: 	: 	: 	2698 
PE_3,T_AI,ES	: 	: 	: 	: 	: 	: 	: 	11781 	10470 	9985 	10173 	9944 	9758 	9538 	10646 	5857 	6742 	9178 	9194 	13398 	14686 	15925 	13148 	: 	: 	: 	: 	: 	: 
PE_3,T_AI,EU15	: 	: 	: 	: 	: 	: 	: 	27059 	26505 	27203 	28569 	29268 	26238 	29585 	28487 	24220 	27093 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PE_3,T_AI,FI	: 	: 	24 	28 	22 	34 	49 	42 	55 	67 	46 	47 	55 	57 	74 	124 	92 	64 	96 	196 	213 	128 	140 	144 	158 	146 	173 	165 	187 
PE_3,T_AI,FR	: 	2100 	2140 	2505 	2460 	2224 	2308 	2487 	3103 	3612 	4672 	6074 	5399 	8346 	5911 	6709 	7959 	10673 	11039 	10726 	9658 	9604 	10633 	9464 	5520 	4890 	5510 	5092 	4788 
PE_3,T_AI,HU	2540 	2505 	2012 	1524 	1640 	1439 	1307 	926 	771 	805 	893 	667 	1041 	1077 	1353 	1517 	2134 	3282 	4817 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PE_3,T_AI,IE	: 	: 	43 	50 	39 	42 	47 	66 	60 	72 	86 	86 	85 	108 	110 	66 	56 	94 	149 	71 	40 	: 	: 	: 	: 	107 	: 	: 	185 
PE_3,T_AI,IT	: 	: 	4386 	4399 	4265 	4849 	4450 	6941 	7135 	7066 	6985 	6931 	4433 	4651 	4356 	4712 	5025 	: 	10943 	10744 	11481 	9842 	: 	: 	: 	: 	: 	: 	: 
PE_3,T_AI,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	19 	11 	9 	10 	12 	12 	9 	: 	10 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PE_3,T_AI,LV	: 	25 	34 	13 	10 	11 	8 	5 	3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PE_3,T_AI,MT	: 	: 	: 	: 	: 	27 	42 	34 	47 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PE_3,T_AI,NL	: 	179 	173 	176 	200 	216 	186 	227 	260 	338 	396 	440 	513 	497 	439 	471 	557 	594 	9668 	10575 	9153 	8921 	13096 	11418 	11576 	: 	: 	: 	: 
PE_3,T_AI,NO	: 	7 	6 	6 	9 	12 	10 	8 	8 	20 	19 	18 	16 	20 	22 	17 	27 	18 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PE_3,T_AI,PL	: 	553 	497 	500 	494 	560 	463 	549 	571 	409 	648 	581 	434 	445 	300 	401 	362 	334 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PE_3,T_AI,PT	370 	627 	493 	425 	409 	441 	607 	414 	476 	463 	439 	435 	501 	397 	347 	382 	754 	831 	285 	243 	: 	: 	500 	428 	436 	364 	413 	361 	343 
PE_3,T_AI,SE	: 	: 	36 	18 	14 	21 	30 	12 	17 	57 	27 	15 	13 	17 	41 	15 	29 	19 	26 	39 	103 	52 	151 	140 	86 	104 	145 	139 	171 
PE_3,T_AI,SI	: 	: 	35 	36 	34 	52 	44 	81 	99 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PE_3,T_AI,UK	: 	: 	675 	551 	557 	516 	650 	650 	652 	901 	965 	876 	853 	1034 	1076 	898 	880 	1050 	2083 	2041 	2045 	2369 	2417 	2196 	2291 	2340 	: 	: 	: 
PE_4,T_AI,AT	: 	: 	: 	151 	163 	137 	224 	262 	251 	277 	178 	304 	235 	264 	374 	390 	412 	321 	333 	298 	: 	: 	90 	122 	200 	207 	210 	156 	107 
PE_4,T_AI,BE	: 	: 	: 	846 	855 	767 	766 	742 	784 	1054 	1219 	1155 	869 	925 	812 	820 	745 	874 	1012 	802 	692 	658 	600 	557 	: 	361 	: 	: 	273 
PE_4,T_AI,DE	3624 	3502 	3740 	3652 	3705 	4002 	4332 	3957 	3233 	3751 	4809 	4070 	4343 	3890 	3232 	4247 	4401 	4284 	3554 	3455 	3371 	3259 	2609 	2606 	2801 	2215 	2604 	2877 	3268 
