airpol,cpa08,induse,origin,unit,geo\time	2012 	2011 	2010 
CH4,CPA_C10-C12,P3_S14,ROW,THS_T,EU28	701.726 	942.052 	843.937 
CH4,CPA_C10-C12,P3_S14,WORLD,T,EU28	4422546 	4579001 	4666690 
CH4,CPA_C10-C12,P3_S14,WORLD,THS_T,EU28	4422.546 	4579.001 	4666.69 
CH4,CPA_C10-C12,P3_S15,DOM,T,EU28	419 	529 	429 
CH4,CPA_C10-C12,P3_S15,DOM,THS_T,EU28	0.419 	0.529 	0.429 
CH4,CPA_C10-C12,P3_S15,ROW,T,EU28	64 	272 	233 
CH4,CPA_C10-C12,P3_S15,ROW,THS_T,EU28	0.064 	0.272 	0.233 
CH4,CPA_C10-C12,P3_S15,WORLD,T,EU28	483 	801 	663 
CH4,CPA_C10-C12,P3_S15,WORLD,THS_T,EU28	0.483 	0.801 	0.663 
CH4,CPA_C10-C12,P5,DOM,T,EU28	47208 	90410 	52253 
CH4,CPA_C10-C12,P5,DOM,THS_T,EU28	47.208 	90.41 	52.253 
CH4,CPA_C10-C12,P5,ROW,T,EU28	9073 	21797 	11156 
CH4,CPA_C10-C12,P5,ROW,THS_T,EU28	9.073 	21.797 	11.156 
CH4,CPA_C10-C12,P5,WORLD,T,EU28	56281 	112207 	63409 
CH4,CPA_C10-C12,P5,WORLD,THS_T,EU28	56.281 	112.207 	63.409 
CH4,CPA_C10-C12,P51G,DOM,T,EU28	697 	574 	609 
CH4,CPA_C10-C12,P51G,DOM,THS_T,EU28	0.697 	0.574 	0.609 
CH4,CPA_C10-C12,P51G,ROW,T,EU28	107 	308 	305 
CH4,CPA_C10-C12,P51G,ROW,THS_T,EU28	0.107 	0.308 	0.305 
CH4,CPA_C10-C12,P51G,WORLD,T,EU28	804 	882 	914 
CH4,CPA_C10-C12,P51G,WORLD,THS_T,EU28	0.804 	0.882 	0.914 
CH4,CPA_C10-C12,P52,DOM,T,EU28	46511 	89836 	51644 
CH4,CPA_C10-C12,P52,DOM,THS_T,EU28	46.511 	89.836 	51.644 
CH4,CPA_C10-C12,P52,ROW,T,EU28	8965 	21489 	10851 
CH4,CPA_C10-C12,P52,ROW,THS_T,EU28	8.965 	21.489 	10.851 
CH4,CPA_C10-C12,P52,WORLD,T,EU28	55477 	111326 	62495 
CH4,CPA_C10-C12,P52,WORLD,THS_T,EU28	55.477 	111.326 	62.495 
CH4,CPA_C10-C12,P53,DOM,T,EU28	0 	0 	0 
CH4,CPA_C10-C12,P53,DOM,THS_T,EU28	0 	0 	0 
CH4,CPA_C10-C12,P53,ROW,T,EU28	0 	0 	0 
CH4,CPA_C10-C12,P53,ROW,THS_T,EU28	0 	0 	0 
CH4,CPA_C10-C12,P53,WORLD,T,EU28	0 	0 	0 
CH4,CPA_C10-C12,P53,WORLD,THS_T,EU28	0 	0 	0 
CH4,CPA_C10-C12,P5M,DOM,T,EU28	46511 	89836 	51644 
CH4,CPA_C10-C12,P5M,DOM,THS_T,EU28	46.511 	89.836 	51.644 
CH4,CPA_C10-C12,P5M,ROW,T,EU28	8965 	21489 	10851 
CH4,CPA_C10-C12,P5M,ROW,THS_T,EU28	8.965 	21.489 	10.851 
CH4,CPA_C10-C12,P5M,WORLD,T,EU28	55477 	111326 	62495 
CH4,CPA_C10-C12,P5M,WORLD,THS_T,EU28	55.477 	111.326 	62.495 
CH4,CPA_C10-C12,P6,DOM,T,EU28	544379 	587563 	533622 
CH4,CPA_C10-C12,P6,DOM,THS_T,EU28	544.379 	587.563 	533.622 
CH4,CPA_C10-C12,P6,ROW,T,EU28	99021 	121506 	90692 
CH4,CPA_C10-C12,P6,ROW,THS_T,EU28	99.021 	121.506 	90.692 
CH4,CPA_C10-C12,P6,WORLD,T,EU28	643400 	709070 	624314 
CH4,CPA_C10-C12,P6,WORLD,THS_T,EU28	643.4 	709.07 	624.314 
CH4,CPA_C10-C12,TFU,DOM,T,EU28	4319829 	4321753 	4414128 
CH4,CPA_C10-C12,TFU,DOM,THS_T,EU28	4319.829 	4321.753 	4414.128 
CH4,CPA_C10-C12,TFU,ROW,T,EU28	811038 	1086989 	946983 
CH4,CPA_C10-C12,TFU,ROW,THS_T,EU28	811.038 	1086.989 	946.983 
CH4,CPA_C10-C12,TFU,WORLD,T,EU28	5130867 	5408742 	5361111 
CH4,CPA_C10-C12,TFU,WORLD,THS_T,EU28	5130.867 	5408.742 	5361.111 
CH4,CPA_C13-C15,P3,DOM,T,EU28	81073 	80798 	84710 
CH4,CPA_C13-C15,P3,DOM,THS_T,EU28	81.073 	80.798 	84.71 
CH4,CPA_C13-C15,P3,ROW,T,EU28	149698 	180421 	168161 
CH4,CPA_C13-C15,P3,ROW,THS_T,EU28	149.698 	180.421 	168.161 
