airpol;cpa02;t_cols;origin;unit;geo\time;2007;2006;2005;2004;2003;2002;2001;2000 
CH4;CPA_CA10;P6_X_P7;WORLD;T;EU27;-773376;-677345;-655735;-692447;-666286;-704288;-849483;-674914
CH4;CPA_CA10;P6_X_P7;WORLD;THS_T;EU27;-773.376;-677.345;-655.735;-692.447;-666.286;-704.288;-849.483;-674.914
CH4;CPA_CA10;P7;ROW;T;EU27;-790134;-706295;-676627;-711949;-697853;-737381;-890581;-718624
CH4;CPA_CA10;P7;ROW;THS_T;EU27;-790.134;-706.295;-676.627;-711.949;-697.853;-737.381;-890.581;-718.624
CH4;CPA_CA11;FINUBP;DOM;T;EU27;61054;70709;60840;61582;68363;80284;64944;87456
CH4;CPA_CA11;FINUBP;DOM;THS_T;EU27;61.054;70.709;60.84;61.582;68.363;80.284;64.944;87.456
CH4;CPA_CA11;FINUBP;WORLD;T;EU27;150624;175920;140038;118372;123099;130811;119115;135136
CH4;CPA_CA11;FINUBP;WORLD;THS_T;EU27;150.624;175.92;140.038;118.372;123.099;130.811;119.115;135.136
CH4;CPA_CA11;P3;DOM;T;EU27;8598;10188;10705;12478;13994;13014;11678;8048
CH4;CPA_CA11;P3;DOM;THS_T;EU27;8.598;10.188;10.705;12.478;13.994;13.014;11.678;8.048
CH4;CPA_CA11;P3;WORLD;T;EU27;39000;44530;40121;41506;47231;41131;43116;28890
CH4;CPA_CA11;P3;WORLD;THS_T;EU27;39;44.53;40.121;41.506;47.231;41.131;43.116;28.89
CH4;CPA_CA11;P3_P5;WORLD;T;EU27;85530;113912;75580;58513;61001;64000;60429;54422
CH4;CPA_CA11;P3_P5;WORLD;THS_T;EU27;85.53;113.912;75.58;58.513;61.001;64;60.429;54.422
CH4;CPA_CA11;P3_S13;DOM;T;EU27;55;57;74;75;124;135;126;143
CH4;CPA_CA11;P3_S13;DOM;THS_T;EU27;0.055;0.057;0.074;0.075;0.124;0.135;0.126;0.143
CH4;CPA_CA11;P3_S13;WORLD;T;EU27;412;412;502;581;635;581;560;592
CH4;CPA_CA11;P3_S13;WORLD;THS_T;EU27;0.412;0.412;0.502;0.581;0.635;0.581;0.56;0.592
CH4;CPA_CA11;P3_S14;DOM;T;EU27;8543;10131;10631;12404;13870;12879;11552;7905
CH4;CPA_CA11;P3_S14;DOM;THS_T;EU27;8.543;10.131;10.631;12.404;13.87;12.879;11.552;7.905
CH4;CPA_CA11;P3_S14;WORLD;T;EU27;38588;44118;39619;40925;46597;40550;42555;28299
CH4;CPA_CA11;P3_S14;WORLD;THS_T;EU27;38.588;44.118;39.619;40.925;46.597;40.55;42.555;28.299
CH4;CPA_CA11;P5;DOM;T;EU27;9123;14532;2771;3700;6481;13617;6636;13725
CH4;CPA_CA11;P5;DOM;THS_T;EU27;9.123;14.532;2.771;3.7;6.481;13.617;6.636;13.725
CH4;CPA_CA11;P5;WORLD;T;EU27;46529;69381;35459;17008;13769;22868;17313;25532
CH4;CPA_CA11;P5;WORLD;THS_T;EU27;46.529;69.381;35.459;17.008;13.769;22.868;17.313;25.532
CH4;CPA_CA11;P51;DOM;T;EU27;6101;5709;5813;6137;6780;7767;7687;6602
CH4;CPA_CA11;P51;DOM;THS_T;EU27;6.101;5.709;5.813;6.137;6.78;7.767;7.687;6.602
CH4;CPA_CA11;P51;WORLD;T;EU27;8632;7458;7656;8202;9007;10219;10160;8686
CH4;CPA_CA11;P51;WORLD;THS_T;EU27;8.632;7.458;7.656;8.202;9.007;10.219;10.16;8.686
CH4;CPA_CA11;P52;DOM;T;EU27;3021;8822;-3042;-2437;-299;7017;-178;9375
CH4;CPA_CA11;P52;DOM;THS_T;EU27;3.021;8.822;-3.042;-2.437;-0.299;7.017;-0.178;9.375
CH4;CPA_CA11;P52;WORLD;T;EU27;37897;61923;27803;8806;4762;13847;8055;19161
CH4;CPA_CA11;P52;WORLD;THS_T;EU27;37.897;61.923;27.803;8.806;4.762;13.847;8.055;19.161
CH4;CPA_CA11;P52_P53;DOM;T;EU27;3021;8822;-3042;-2437;-299;5850;-1052;7123
CH4;CPA_CA11;P52_P53;DOM;THS_T;EU27;3.021;8.822;-3.042;-2.437;-0.299;5.85;-1.052;7.123
CH4;CPA_CA11;P52_P53;WORLD;T;EU27;37897;61923;27803;8806;4762;12649;7153;16846
CH4;CPA_CA11;P52_P53;WORLD;THS_T;EU27;37.897;61.923;27.803;8.806;4.762;12.649;7.153;16.846
CH4;CPA_CA11;P53;DOM;T;EU27;:;:;:;:;:;-1167;-874;-2252
CH4;CPA_CA11;P53;DOM;THS_T;EU27;:;:;:;:;:;-1.167;-0.874;-2.252
CH4;CPA_CA11;P53;WORLD;T;EU27;:;:;:;:;:;-1198;-901;-2316
CH4;CPA_CA11;P53;WORLD;THS_T;EU27;:;:;:;:;:;-1.198;-0.901;-2.316
CH4;CPA_CA11;P6;DOM;T;EU27;43334;45990;47363;45404;47888;53652;46631;65683
CH4;CPA_CA11;P6;DOM;THS_T;EU27;43.334;45.99;47.363;45.404;47.888;53.652;46.631;65.683
CH4;CPA_CA11;P6;WORLD;T;EU27;65094;62008;64457;59859;62098;66812;58686;80714
CH4;CPA_CA11;P6;WORLD;THS_T;EU27;65.094;62.008;64.457;59.859;62.098;66.812;58.686;80.714
CH4;CPA_CA11;P6_X_P7;WORLD;T;EU27;-1365182;-1335632;-1334618;-1133518;-1042818;-887672;-956415;-1015304
CH4;CPA_CA11;P6_X_P7;WORLD;THS_T;EU27;-1365.182;-1335.632;-1334.618;-1133.518;-1042.818;-887.672;-956.415;-1015.304
CH4;CPA_CA11;P7;ROW;T;EU27;-1430276;-1397640;-1399076;-1193377;-1104916;-954483;-1015101;-1096018
CH4;CPA_CA11;P7;ROW;THS_T;EU27;-1430.276;-1397.64;-1399.076;-1193.377;-1104.916;-954.483;-1015.101;-1096.018
CH4;CPA_CA12;FINUBP;DOM;T;EU27;63;157;-674;141;32;139;-83;31
