indic_nv	unit	geo	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000
FEC_HH	KTOE	UKF2	:	:	:	:	1040.45	1108.77	1148.34	1167.48	1203.04	:	:	:	:	:
FEC_HH	KTOE	UKF3	:	:	:	:	430.16	452.27	468.5	476.15	479.25	:	:	:	:	:
FEC_HH	KTOE	UKG1	:	:	:	:	842.59	893.58	913.01	931.25	947.54	:	:	:	:	:
FEC_HH	KTOE	UKG2	:	:	:	:	1031.54	1095.42	1126.32	1155.65	1167.4	:	:	:	:	:
FEC_HH	KTOE	UKG3	:	:	:	:	1629.77	1747.57	1812.55	1854.93	1894.48	:	:	:	:	:
FEC_HH	KTOE	UKH1	:	:	:	:	1407.88	1471.76	1521.95	1551.77	1567.89	:	:	:	:	:
FEC_HH	KTOE	UKH2	:	:	:	:	1079.88	1140.16	1182.83	1194.55	1224.07	:	:	:	:	:
FEC_HH	KTOE	UKH3	:	:	:	:	1083.26	1144.47	1179.35	1203.74	1235.38	:	:	:	:	:
FEC_HH	KTOE	UKI1	:	:	:	:	1680.06	1774.25	1824.72	1849.17	1909.27	:	:	:	:	:
FEC_HH	KTOE	UKI2	:	:	:	:	2962.19	3148.88	3237.35	3285.69	3372.32	:	:	:	:	:
FEC_HH	KTOE	UKJ1	:	:	:	:	1465.29	1553.48	1601.58	1608.6	1634.56	:	:	:	:	:
FEC_HH	KTOE	UKJ2	:	:	:	:	1794.52	1897.7	1954.59	1986.6	2027.01	:	:	:	:	:
