Lieu;Département;Série;Unité;Année;Valeur
AQUITAINE;72;Chrome hexavalent;kg/an;2004;0.0
AQUITAINE;72;Chrome hexavalent;kg/an;2005;38.0
AQUITAINE;72;Chrome hexavalent;kg/an;2006;0.0
AQUITAINE;72;Chrome hexavalent;kg/an;2007;0.0
AQUITAINE;72;Chrome hexavalent;kg/an;2008;0.0
AQUITAINE;72;Chrome hexavalent;kg/an;2009;0.0
AQUITAINE;72;Cuivre;t/an;1999;0.0
AQUITAINE;72;Cuivre;t/an;2000;0.0
AQUITAINE;72;Cuivre;t/an;2001;0.0
AQUITAINE;72;Cuivre;t/an;2002;0.0
AQUITAINE;72;Cuivre;t/an;2004;0.911
AQUITAINE;72;Cuivre;t/an;2005;1.256
AQUITAINE;72;Cuivre;t/an;2006;0.351
AQUITAINE;72;Cuivre;t/an;2007;0.744
AQUITAINE;72;Cuivre;t/an;2008;1.677
AQUITAINE;72;Cuivre;t/an;2009;1.052
AQUITAINE;72;Cyanures;kg/an;1999;155.0
AQUITAINE;72;Cyanures;kg/an;2000;0.0
AQUITAINE;72;Cyanures;kg/an;2001;0.0
AQUITAINE;72;Cyanures;kg/an;2002;0.0
AQUITAINE;72;Cyanures;kg/an;2004;0.0
AQUITAINE;72;Cyanures;kg/an;2005;0.0
AQUITAINE;72;Cyanures;kg/an;2006;0.0
AQUITAINE;72;Cyanures;kg/an;2007;0.0
AQUITAINE;72;Cyanures;kg/an;2008;0.0
AQUITAINE;72;Cyanures;kg/an;2009;0.0
AQUITAINE;72;DBO5 (sauf épandage);t/an;1999;ND
AQUITAINE;72;DBO5 (sauf épandage);t/an;2000;ND
AQUITAINE;72;DBO5 (sauf épandage);t/an;2001;ND
AQUITAINE;72;DBO5 (sauf épandage);t/an;2002;ND
AQUITAINE;72;DBO5 (sauf épandage);t/an;2004;6112.418
AQUITAINE;72;DBO5 (sauf épandage);t/an;2005;8195.701
AQUITAINE;72;DBO5 (sauf épandage);t/an;2006;7144.365
AQUITAINE;72;DBO5 (sauf épandage);t/an;2007;8639.77
AQUITAINE;72;DBO5 (sauf épandage);t/an;2008;10176.689
AQUITAINE;72;DBO5 (sauf épandage);t/an;2009;8898.65
AQUITAINE;72;DBO5 (y compris épandage);t/an;1999;ND
AQUITAINE;72;DBO5 (y compris épandage);t/an;2000;ND
AQUITAINE;72;DBO5 (y compris épandage);t/an;2001;ND
AQUITAINE;72;DBO5 (y compris épandage);t/an;2002;ND
AQUITAINE;72;DBO5 (y compris épandage);t/an;2004;6112.418
AQUITAINE;72;DBO5 (y compris épandage);t/an;2005;8195.701
AQUITAINE;72;DBO5 (y compris épandage);t/an;2006;7144.365
AQUITAINE;72;DBO5 (y compris épandage);t/an;2007;8639.77
AQUITAINE;72;DBO5 (y compris épandage);t/an;2008;10176.689
AQUITAINE;72;DBO5 (y compris épandage);t/an;2009;8898.65
AQUITAINE;72;DCO (sauf épandage);t/an;1999;28734.0
AQUITAINE;72;DCO (sauf épandage);t/an;2000;36469.432
AQUITAINE;72;DCO (sauf épandage);t/an;2001;32091.0
AQUITAINE;72;DCO (sauf épandage);t/an;2002;33013.867
AQUITAINE;72;DCO (sauf épandage);t/an;2004;31443.951
AQUITAINE;72;DCO (sauf épandage);t/an;2005;39383.723
AQUITAINE;72;DCO (sauf épandage);t/an;2006;36760.637
AQUITAINE;72;DCO (sauf épandage);t/an;2007;38097.344
AQUITAINE;72;DCO (sauf épandage);t/an;2008;44427.353
AQUITAINE;72;DCO (sauf épandage);t/an;2009;36874.208
AQUITAINE;72;DCO (y compris épandage);t/an;1999;28734.0
AQUITAINE;72;DCO (y compris épandage);t/an;2000;36469.432
AQUITAINE;72;DCO (y compris épandage);t/an;2001;32091.0
AQUITAINE;72;DCO (y compris épandage);t/an;2002;34973.167
AQUITAINE;72;DCO (y compris épandage);t/an;2004;33748.401
AQUITAINE;72;DCO (y compris épandage);t/an;2005;41502.812
AQUITAINE;72;DCO (y compris épandage);t/an;2006;39006.288
AQUITAINE;72;DCO (y compris épandage);t/an;2007;38097.344
AQUITAINE;72;DCO (y compris épandage);t/an;2008;44427.353
AQUITAINE;72;DCO (y compris épandage);t/an;2009;36874.208
AQUITAINE;72;Dichlorométhane;kg/an;1999;ND
AQUITAINE;72;Dichlorométhane;kg/an;2000;ND
AQUITAINE;72;Dichlorométhane;kg/an;2001;0.0
AQUITAINE;72;Dichlorométhane;kg/an;2002;0.0
AQUITAINE;72;Dichlorométhane;kg/an;2004;1136.0
AQUITAINE;72;Dichlorométhane;kg/an;2005;34.0
AQUITAINE;72;Dichlorométhane;kg/an;2006;104.0
AQUITAINE;72;Dichlorométhane;kg/an;2007;0.0
AQUITAINE;72;Dichlorométhane;kg/an;2008;0.0
AQUITAINE;72;Dichlorométhane;kg/an;2009;25.343
