nst07	unit	geo	2015	2014	2013	2012	2011	2010	2009	2008
TOTAL	THS_T	UKE45	20790	19332	16615	16093	:	:	:	:
TOTAL	THS_T	UKF11	4188	2572	2571	4829	2600	3379	6751	4805
TOTAL	THS_T	UKF12	6772	3599	5238	2531	2508	5082	3872	5403
TOTAL	THS_T	UKF13	24107	25915	19498	20448	24438	25238	20294	28846
TOTAL	THS_T	UKF14	7806	8702	6049	5839	3870	6025	5600	7105
TOTAL	THS_T	UKF15	16807	14279	17238	19071	15043	15813	13833	19604
TOTAL	THS_T	UKF16	5060	5039	5311	8469	10865	4738	5072	3915
TOTAL	THS_T	UKF21	6691	5227	9336	6755	8551	9394	8267	7977
TOTAL	THS_T	UKF22	32615	33511	34572	32913	27534	31423	30373	34649
TOTAL	THS_T	UKF23	:	:	:	:	41091	36470	34330	38748
TOTAL	THS_T	UKF24	20276	18904	21041	20562	:	:	:	:
TOTAL	THS_T	UKF25	17195	16065	16047	15988	:	:	:	:
TOTAL	THS_T	UKF30	29686	28575	25523	30448	31674	25624	29911	33179
TOTAL	THS_T	UKG11	6055	6704	4694	5925	7686	5439	9135	8430
TOTAL	THS_T	UKG12	16506	11634	12768	14394	13560	14547	16767	12500
TOTAL	THS_T	UKG13	24823	28665	28905	26042	23764	24312	17323	22952
TOTAL	THS_T	UKG21	6170	4718	4560	4708	4729	4865	3670	5595
TOTAL	THS_T	UKG22	9647	11718	10607	10642	8192	6964	12822	11045
TOTAL	THS_T	UKG23	8648	6726	7869	4573	5579	6456	7350	10231
TOTAL	THS_T	UKG24	41131	33720	30819	28689	27692	28549	27991	28702
TOTAL	THS_T	UKG31	21441	11890	13407	13658	14815	15832	20703	28358
TOTAL	THS_T	UKG32	3397	2531	2968	4851	3462	4013	2661	3098
TOTAL	THS_T	UKG33	6750	6415	10819	7782	8058	7765	4962	6434
TOTAL	THS_T	UKG34	:	:	:	:	16263	12876	11984	12728
TOTAL	THS_T	UKG35	:	:	:	:	10040	13133	11953	14134
TOTAL	THS_T	UKG36	3041	4256	5350	4440	:	:	:	:
TOTAL	THS_T	UKG37	8934	6975	6273	10083	:	:	:	:
TOTAL	THS_T	UKG38	7884	4247	7121	5939	:	:	:	:
TOTAL	THS_T	UKG39	5635	4079	4822	6271	:	:	:	:
TOTAL	THS_T	UKH11	6589	9191	4114	7895	7587	7051	6724	7802
TOTAL	THS_T	UKH12	21135	19603	23224	29514	19637	19850	24654	28591
TOTAL	THS_T	UKH13	:	24680	19685	23851	36371	24312	24680	30356
TOTAL	THS_T	UKH14	28716	26571	30457	34640	34249	32343	27553	38091
TOTAL	THS_T	UKH15	7769	:	:	:	:	:	:	:
TOTAL	THS_T	UKH16	6647	:	:	:	:	:	:	:
TOTAL	THS_T	UKH17	11246	:	:	:	:	:	:	:
TOTAL	THS_T	UKH21	1487	1739	979	1449	2111	1904	3353	1938
TOTAL	THS_T	UKH22	:	:	:	:	10328	11438	8232	12219
TOTAL	THS_T	UKH23	24575	18448	18396	25393	20661	26295	23007	19705
TOTAL	THS_T	UKH24	3541	3480	2007	5245	:	:	:	:
TOTAL	THS_T	UKH25	10312	6357	4740	10653	:	:	:	:
TOTAL	THS_T	UKH31	502	1685	1153	429	579	923	773	850
TOTAL	THS_T	UKH32	28267	21396	26207	22837	37836	34585	23380	34383
TOTAL	THS_T	UKH33	:	22073	32011	28635	27515	29830	23497	27072
TOTAL	THS_T	UKH34	7509	:	:	:	:	:	:	:
TOTAL	THS_T	UKH35	6686	:	:	:	:	:	:	:
TOTAL	THS_T	UKH36	5864	:	:	:	:	:	:	:
TOTAL	THS_T	UKH37	5579	:	:	:	:	:	:	:
TOTAL	THS_T	UKI11	:	9913	9595	9949	7232	5389	5495	6504
TOTAL	THS_T	UKI12	:	13908	13868	10968	16185	13224	14659	17865
TOTAL	THS_T	UKI21	:	30174	34654	29920	30841	32340	21947	31861
TOTAL	THS_T	UKI22	:	8868	8862	8050	9448	6472	6398	6765
TOTAL	THS_T	UKI23	:	24713	23314	27816	25571	19459	18920	25007
TOTAL	THS_T	UKI31	4142	:	:	:	:	:	:	:
TOTAL	THS_T	UKI32	1243	:	:	:	:	:	:	:
TOTAL	THS_T	UKI33	3774	:	:	:	:	:	:	:
TOTAL	THS_T	UKI34	2234	:	:	:	:	:	:	:
TOTAL	THS_T	UKI41	7161	:	:	:	:	:	:	:
TOTAL	THS_T	UKI42	2699	:	:	:	:	:	:	:
TOTAL	THS_T	UKI43	5465	:	:	:	:	:	:	:
TOTAL	THS_T	UKI44	2228	:	:	:	:	:	:	:
TOTAL	THS_T	UKI45	498	:	:	:	:	:	:	:
TOTAL	THS_T	UKI51	15969	:	:	:	:	:	:	:
TOTAL	THS_T	UKI52	10425	:	:	:	:	:	:	:
TOTAL	THS_T	UKI53	4902	:	:	:	:	:	:	:
TOTAL	THS_T	UKI54	7812	:	:	:	:	:	:	:
TOTAL	THS_T	UKI61	1524	:	:	:	:	:	:	:
TOTAL	THS_T	UKI62	3523	:	:	:	:	:	:	:
TOTAL	THS_T	UKI63	4255	:	:	:	:	:	:	:
TOTAL	THS_T	UKI71	1440	:	:	:	:	:	:	:
TOTAL	THS_T	UKI72	2913	:	:	:	:	:	:	:
TOTAL	THS_T	UKI73	4409	:	:	:	:	:	:	:
TOTAL	THS_T	UKI74	7665	:	:	:	:	:	:	:
TOTAL	THS_T	UKI75	4832	:	:	:	:	:	:	:
TOTAL	THS_T	UKJ11	18285	17421	15518	13852	19217	14969	13673	16478
TOTAL	THS_T	UKJ12	6983	5416	5715	9096	5160	8552	5419	8881
TOTAL	THS_T	UKJ13	6073	5589	5936	6441	4158	5585	5481	4756
TOTAL	THS_T	UKJ14	21296	16328	17186	14388	17927	13332	13015	13192
TOTAL	THS_T	UKJ21	642	3363	743	1026	1765	1664	867	606
TOTAL	THS_T	UKJ22	5205	4466	4966	3399	3620	4278	5280	6846
TOTAL	THS_T	UKJ23	:	14049	13415	21688	16277	10820	12348	16754
TOTAL	THS_T	UKJ24	:	15425	13236	12677	12877	9463	8680	15185
TOTAL	THS_T	UKJ25	11183	:	:	:	:	:	:	:
TOTAL	THS_T	UKJ26	2583	:	:	:	:	:	:	:
TOTAL	THS_T	UKJ27	4246	:	:	:	:	:	:	:
TOTAL	THS_T	UKJ28	7997	:	:	:	:	:	:	:
TOTAL	THS_T	UKJ31	3694	3392	3183	5024	7042	3315	2191	3771
TOTAL	THS_T	UKJ32	8794	9536	7970	7847	6612	12639	8141	13721
TOTAL	THS_T	UKJ33	:	21893	16011	29101	20811	26317	21053	27737
TOTAL	THS_T	UKJ34	439	1663	1410	1205	1033	953	411	1706
TOTAL	THS_T	UKJ35	4988	:	:	:	:	:	:	:
TOTAL	THS_T	UKJ36	11170	:	:	:	:	:	:	:
TOTAL	THS_T	UKJ37	6621	:	:	:	:	:	:	:
TOTAL	THS_T	UKJ41	7817	5168	7662	5483	4100	5358	5054	7744
TOTAL	THS_T	UKJ42	:	32016	37573	34334	38587	37132	34666	44504
TOTAL	THS_T	UKJ43	15702	:	:	:	:	:	:	:
TOTAL	THS_T	UKJ44	6310	:	:	:	:	:	:	:
TOTAL	THS_T	UKJ45	9701	:	:	:	:	:	:	:
TOTAL	THS_T	UKJ46	11978	:	:	:	:	:	:	:
TOTAL	THS_T	UKK11	17801	13986	16019	22263	22397	18099	17663	17990
TOTAL	THS_T	UKK12	12585	10865	9981	11610	10382	12541	17278	16295
TOTAL	THS_T	UKK13	17856	14529	12013	12436	15564	13004	14329	17509
TOTAL	THS_T	UKK14	6407	4190	5843	4645	5021	6935	5160	7184
TOTAL	THS_T	UKK15	12309	12820	7691	11744	12812	9375	8270	7369
TOTAL	THS_T	UKK21	4484	2476	2469	3751	7498	5181	2364	1940
TOTAL	THS_T	UKK22	6853	6620	6237	6858	8350	8906	5008	8073
TOTAL	THS_T	UKK23	23945	17679	17041	23781	20866	22426	17390	21380
TOTAL	THS_T	UKK30	10615	14945	13425	10742	16413	10153	9788	12437
TOTAL	THS_T	UKK41	6744	4864	3238	3573	5152	3495	3982	5016
TOTAL	THS_T	UKK42	1027	303	459	759	485	1049	696	1154
TOTAL	THS_T	UKK43	18417	21176	19064	21422	22182	17027	16730	19542
TOTAL	THS_T	UKL11	1210	1431	1433	879	718	822	1371	1538
TOTAL	THS_T	UKL12	2546	1845	1631	1551	5591	2423	1957	2679
TOTAL	THS_T	UKL13	2892	2279	3671	1807	2368	2766	2057	5812
TOTAL	THS_T	UKL14	11832	9798	9576	14490	7027	10789	9012	13488
TOTAL	THS_T	UKL15	4952	7169	7463	4568	6122	3169	4029	5998
TOTAL	THS_T	UKL16	2332	2939	2770	3456	3390	4088	4561	5085
TOTAL	THS_T	UKL17	5517	4708	6771	6213	6427	9353	7098	6481
TOTAL	THS_T	UKL18	2284	3360	3325	1672	2912	2650	3813	4327
TOTAL	THS_T	UKL21	6404	4973	8609	11982	8795	10075	8157	14465
TOTAL	THS_T	UKL22	9732	8012	5953	9073	10108	6725	9586	12328
TOTAL	THS_T	UKL23	14197	9600	10929	15218	8925	14080	11229	13714
TOTAL	THS_T	UKL24	5077	5721	2600	4718	6444	4236	4605	4036
TOTAL	THS_T	UKM21	5588	4621	3961	7441	5486	4489	6979	6840
TOTAL	THS_T	UKM22	9540	5575	8404	11189	13786	6313	9528	12599
TOTAL	THS_T	UKM23	2568	4266	3700	4270	5690	3169	5200	5695
TOTAL	THS_T	UKM24	3657	5843	3216	2016	1788	1679	2247	4508
TOTAL	THS_T	UKM25	3579	6650	4402	4712	3151	2535	3788	5098
TOTAL	THS_T	UKM26	8501	7616	10170	11365	7911	10407	11607	15952
TOTAL	THS_T	UKM27	7708	7877	5932	7209	7561	4914	6563	7641
TOTAL	THS_T	UKM28	5667	7230	6826	6401	10749	5851	7416	6211
TOTAL	THS_T	UKM31	3637	1642	1447	2160	2294	5444	3068	1831
TOTAL	THS_T	UKM32	7402	7589	10879	7031	6200	7833	5067	5523
TOTAL	THS_T	UKM33	4747	4691	4391	6603	7776	5764	5172	5573
TOTAL	THS_T	UKM34	14315	8308	6895	8122	10146	7435	7588	11131
TOTAL	THS_T	UKM35	4681	5786	4355	3097	4206	4216	3017	4702
TOTAL	THS_T	UKM36	16194	14742	12387	13112	17761	14596	13756	15105
TOTAL	THS_T	UKM37	2496	2551	3254	3239	2602	4641	4281	3887
TOTAL	THS_T	UKM38	8651	7322	6474	12469	8000	9564	8687	16141
TOTAL	THS_T	UKM50	21752	13838	12009	15647	12745	11334	17222	12084
TOTAL	THS_T	UKM61	3533	3559	2386	4376	2256	1873	1477	3363
TOTAL	THS_T	UKM62	8278	6308	12384	8496	5483	7945	6772	6320
TOTAL	THS_T	UKM63	4532	5917	6118	2646	1168	5232	3991	6299
TOTAL	THS_T	UKM64	583	572	1184	2201	1706	1041	142	596
TOTAL	THS_T	UKM65	688	60	74	502	87	100	600	699
TOTAL	THS_T	UKM66	774	626	611	1533	1049	1220	441	338
TOTAL	THS_T	UKN01	8743	8581	10286	12737	9803	11936	9400	14660
TOTAL	THS_T	UKN02	6971	4523	7227	8132	7728	7112	7016	11932
TOTAL	THS_T	UKN03	16458	14272	14962	16924	14642	14196	17637	18678
TOTAL	THS_T	UKN04	5094	4991	5132	8383	7032	5465	8006	7599
TOTAL	THS_T	UKN05	14210	15886	18494	14080	14658	14846	16939	20124
