geo,unit,product,indic_en,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
SE,KTOE,coking_coal,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SE,KTOE,other_bituminous_coal,primary_prod,30.9,38,52.6,60.4,31.2,54.3,44.2,44.5,35.5,43.7,0,0,0,0,0,0,0,0,0,0
SE,KTOE,Sub-bituminous Coal,primary_prod,0,0,0,0,0,34,27.1,27.1,20.9,27.9,10.4,13.7,3.9,3.4,3.9,0,0,0,0,0
SE,KTOE,lignite/brown_coal,primary_prod,8819.1,9054.4,9494.6,9855.4,7471.5,8263.1,8125.7,8607.8,9057.4,9228.6,7450.3,7805.3,7888.7,8220.5,7327.2,7229.1,7824.8,7278.2,7670.9,5712.9
SE,KTOE,total_coal,primary_prod,8850,9092.4,9547.2,9915.8,7502.7,8351.4,8197,8679.4,9113.8,9300.2,7460.7,7819,7892.6,8223.9,7331.1,7229.1,7824.8,7278.2,7670.9,5712.9
SK,KTOE,anthracite,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SK,KTOE,coking_coal,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SK,KTOE,other_bituminous_coal,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SK,KTOE,Sub-bituminous Coal,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SK,KTOE,lignite/brown_coal,primary_prod,1016.6,1027,1061.7,1063.8,1083.5,1018.2,979.9,930.4,819,817,637.1,561.8,550.7,623.7,653.3,613.4,601.6,567.4,584.3,579.3
SK,KTOE,total_coal,primary_prod,1016.6,1027,1061.7,1063.8,1083.5,1018.2,979.9,930.4,819,817,637.1,561.8,550.7,623.7,653.3,613.4,601.6,567.4,584.3,579.3
SI,KTOE,anthracite,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
